iter	Passed	Remaining
427	1676	2240
428	1680	2236
429	1683	2232
430	1687	2227
431	1690	2222
432	1693	2217
433	1697	2213
434	1700	2209
435	1704	2204
436	1707	2199
437	1711	2195
438	1714	2190
439	1717	2185
440	1720	2181
441	1723	2176
442	1727	2171
443	1730	2166
444	1733	2162
445	1737	2157
446	1740	2153
447	1744	2149
448	1747	2144
449	1751	2140
450	1754	2135
451	1758	2131
452	1761	2127
453	1765	2123
454	1769	2119
455	1774	2117
456	1778	2113
457	1781	2108
458	1785	2104
459	1789	2100
460	1792	2095
461	1795	2090
462	1799	2087
463	1803	2083
464	1806	2078
465	1810	2074
466	1813	2069
467	1817	2065
468	1820	2061
469	1824	2057
470	1828	2053
471	1832	2049
472	1835	2045
473	1838	2040
474	1841	2035
475	1845	2031
476	1848	2027
477	1852	2022
478	1855	2018
479	1860	2015
480	1864	2011
481	1867	2007
482	1870	2002
483	1875	1999
484	1879	1995
485	1882	1991
486	1885	1986
487	1888	1981
488	1893	1978
489	1897	1974
490	1900	1969
491	1903	1965
492	1907	1962
493	1912	1959
494	1916	1954
495	1919	1950
496	1923	1946
497	1926	1942
498	1929	1937
499	1933	1933
500	1937	1930
501	1941	1925
502	1945	1921
503	1948	1917
504	1951	1913
505	1955	1909
506	1959	1904
507	1962	1900
508	1965	1896
509	1969	1892
510	1973	1888
511	1976	1883
512	1979	1879
513	1983	1875
514	1987	1871
515	1990	1866
516	1993	1862
517	1996	1858
518	2000	1854
519	2004	1849
520	2007	1845
521	2010	1841
522	2014	1837
523	2017	1832
524	2020	1828
525	2023	1823
526	2026	1819
527	2031	1815
528	2034	1811
529	2037	1806
530	2040	1802
531	2044	1798
532	2048	1794
533	2051	1790
534	2055	1786
535	2059	1782
536	2062	1778
537	2066	1774
538	2069	1769
539	2072	1765
540	2076	1761
541	2079	1757
542	2082	1753
543	2086	1748
544	2090	1744
545	2093	1740
546	2096	1736
547	2099	1731
548	2102	1727
549	2107	1724
550	2110	1719
551	2113	1715
552	2117	1711
553	2121	1708
554	2125	1704
555	2128	1700
556	2132	1696
557	2136	1692
558	2139	1687
559	2143	1683
560	2146	1679
561	2150	1676
562	2155	1673
563	2159	1669
564	2164	1666
565	2167	1662
566	2171	1658
567	2174	1653
568	2178	1649
569	2182	1646
570	2186	1642
571	2189	1638
572	2192	1634
573	2196	1630
574	2199	1625
575	2203	1621
576	2206	1617
577	2210	1613
578	2213	1609
579	2216	1605
580	2220	1601
581	2223	1596
582	2227	1593
583	2230	1588
584	2233	1584
585	2236	1580
586	2240	1576
587	2244	1572
588	2247	1568
589	2250	1563
590	2254	1560
591	2258	1556
592	2261	1552
593	2264	1547
594	2267	1543
595	2271	1540
596	2275	1535
597	2278	1531
598	2281	1527
599	2284	1523
600	2288	1519
601	2291	1514
602	2294	1510
603	2298	1507
604	2302	1503
605	2305	1499
606	2309	1495
607	2312	1490
608	2315	1486
609	2319	1483
610	2323	1479
611	2326	1475
612	2330	1471
613	2334	1467
614	2337	1463
615	2341	1459
616	2345	1455
617	2349	1452
618	2352	1447
619	2355	1443
620	2358	1439
621	2362	1435
622	2366	1432
623	2369	1427
624	2372	1423
625	2376	1419
626	2380	1416
627	2383	1411
628	2386	1407
629	2389	1403
630	2393	1399
631	2396	1395
632	2399	1391
633	2402	1387
634	2406	1383
635	2409	1378
636	2413	1375
637	2416	1370
638	2419	1366
639	2422	1362
640	2425	1358
641	2429	1354
642	2432	1350
643	2436	1346
644	2440	1342
645	2443	1338
646	2446	1334
647	2449	1330
648	2453	1326
649	2456	1322
650	2460	1319
651	2463	1315
652	2467	1311
653	2471	1307
654	2474	1303
655	2477	1299
656	2481	1295
657	2485	1291
658	2489	1288
659	2492	1283
660	2495	1279
661	2499	1276
662	2502	1272
663	2506	1268
664	2509	1264
665	2512	1260
666	2516	1256
667	2519	1252
668	2523	1248
669	2526	1244
670	2530	1240
671	2534	1236
672	2538	1233
673	2542	1229
674	2546	1226
675	2549	1221
676	2552	1217
677	2555	1213
678	2559	1210
679	2562	1206
680	2566	1202
681	2569	1198
682	2573	1194
683	2577	1190
684	2580	1186
685	2583	1182
686	2587	1178
687	2590	1174
688	2594	1170
689	2597	1167
690	2600	1163
691	2604	1159
692	2608	1155
693	2611	1151
694	2615	1147
695	2619	1144
696	2623	1140
697	2626	1136
698	2630	1132
699	2633	1128
700	2637	1124
701	2640	1120
702	2643	1116
703	2647	1113
704	2652	1109
705	2655	1105
706	2658	1101
707	2662	1098
708	2666	1094
709	2670	1090
710	2673	1086
711	2677	1083
712	2682	1079
713	2685	1075
714	2690	1072
715	2695	1068
716	2699	1065
717	2702	1061
718	2706	1057
719	2710	1054
720	2714	1050
721	2718	1046
722	2721	1042
723	2725	1038
724	2729	1035
725	2732	1031
726	2735	1027
727	2738	1023
728	2742	1019
729	2745	1015
730	2748	1011
731	2752	1007
732	2755	1003
733	2760	1000
734	2763	996
735	2766	992
736	2770	988
737	2774	984
738	2777	981
739	2781	977
740	2784	973
741	2788	969
742	2792	965
743	2796	962
744	2799	958
745	2803	954
746	2807	950
747	2811	947
748	2814	943
749	2818	939
750	2821	935
751	2824	931
752	2828	927
753	2832	924
754	2836	920
755	2839	916
756	2843	912
757	2846	908
758	2850	905
759	2854	901
760	2857	897
761	2860	893
762	2865	889
763	2868	886
764	2872	882
765	2875	878
766	2879	874
767	2883	871
768	2886	867
769	2890	863
770	2894	859
771	2897	855
772	2901	852
773	2904	848
774	2909	844
775	2913	840
776	2916	837
777	2920	833
778	2925	829
779	2928	826
780	2932	822
781	2935	818
782	2939	814
783	2942	810
784	2946	807
785	2950	803
786	2955	799
787	2959	796
788	2962	792
789	2966	788
790	2970	784
791	2974	781
792	2977	777
793	2980	773
794	2984	769
795	2988	765
796	2992	762
797	2995	758
798	2999	754
799	3002	750
800	3006	746
801	3009	743
802	3013	739
803	3017	735
804	3020	731
805	3024	727
806	3027	724
807	3031	720
808	3035	716
809	3038	712
810	3041	708
811	3045	705
812	3049	701
813	3053	697
814	3056	693
815	3060	690
816	3064	686
817	3067	682
818	3070	678
819	3074	674
820	3078	671
821	3081	667
822	3084	663
823	3088	659
824	3092	655
825	3095	652
826	3098	648
827	3102	644
828	3106	640
829	3110	637
830	3114	633
831	3117	629
832	3122	625
